number,name,earnings in USD,Number of major tournaments won,Number of second place placing,number of third place placings,number of regional tournaments won
1291,Mirror,"$4,201",1,3,0,0
1292,Mexi,"$4,189",1,1,0,0
1293,Dara,"$4,184",6,4,0,1
1294,Klaus,"$4,174",0,2,0,0
1295,Fraid,"$4,167",1,3,1,0
1296,Random,"$4,144",5,1,0,0
1296,Achuu,"$4,139",2,1,2,0
1296,Zytan,"$4,134",3,1,1,0
1299,Artemis,"$4,120",0,1,1,0
1300,Manu,"$4,112",1,2,0,0
1301,Style,"$4,109",1,0,0,0
1302,Jatt,"$4,100",1,0,2,0
1303,Moo,"$4,093",0,2,0,0
1304,Nobody,"$4,063",0,1,0,0
1305,Kackos,"$4,062",0,2,1,0
1306,Tifa,"$4,035",1,3,0,0
1307,Kyanna,"$4,035",1,3,0,0
1307,Aslan,"$4,032",0,1,1,0
1309,Pirean,"$4,031",0,1,1,0
1310,Zeicro,"$4,027",1,2,1,0
1311,Cover,"$4,023",0,0,1,0
1312,TopLop,"$4,000",2,1,0,0
1313,Driver,"$4,000",0,0,0,0
1314,Benji,"$4,000",0,0,0,0
1315,whiteinn,"$3,994",1,2,0,0
1316,Eimy,"$3,984",0,0,1,0
1317,Dreamsu,"$3,975",1,1,1,0
1318,Zica,"$3,928",0,0,0,0
1319,Efias,"$3,915",2,2,0,0
1320,Mousty,"$3,904",0,0,0,0
1321,Tony Top,"$3,900",0,2,0,0
1322,TH,"$3,898",0,0,2,0
1323,Bullet,"$3,885",1,1,2,0
1324,Spot,"$3,879",0,0,2,0
1325,AlternativeX,"$3,874",2,2,1,0
1326,Phantomles,"$3,855",3,1,0,0
1327,Dommmy,"$3,852",2,2,1,0
1328,Calm,"$3,845",0,1,2,0
1329,ST3PZ,"$3,842",0,2,1,0
1330,Kit,"$3,841",0,1,0,0
1331,Raxhy,"$3,836",1,1,2,0
1332,Lvsyan,"$3,805",1,0,0,0
1333,Brom,"$3,803",0,0,0,0
1334,LynX,"$3,803",2,0,0,0
1335,RoseThorn,"$3,800",2,0,1,0
1336,Nyu,"$3,797",2,0,2,0
1337,Grisen,"$3,796",2,2,1,0
1338,Mytheos,"$3,788",2,4,3,0
1339,Energy,"$3,769",4,1,1,0
1340,Envyy,"$3,763",0,0,1,0
1341,Poulsen,"$3,757",1,1,0,0
1342,StenBosse,"$3,742",3,2,0,0
1343,Kiefer,"$3,731",1,1,1,0
1344,Hiro,"$3,727",0,0,0,0
1345,Sebs,"$3,691",4,5,2,0
1345,Rulfchen,"$3,674",3,1,0,0
1347,IceBreaker,"$3,672",2,1,1,0
1348,Spookz,"$3,656",2,3,1,0
1349,Swiffer,"$3,656",2,3,1,0
1350,Decay,"$3,614",1,1,2,0
1351,viNylCat,"$3,610",0,0,0,0
1352,Bonnie,"$3,609",1,0,1,0
1353,Tiara,"$3,591",2,2,0,0
1354,Yusa,"$3,589",4,3,7,0
1355,Riss,"$3,568",0,1,0,0
1356,Cheoni,"$3,568",0,1,0,0
1357,Kanin,"$3,568",1,0,0,0
1358,Baut,"$3,568",0,1,0,0
1359,Sarkis,"$3,562",2,0,0,0
1360,Odi11,"$3,550",1,0,1,0
1361,Clever,"$3,532",0,0,0,0
1362,Taurus,"$3,531",0,0,1,0
1363,Ophelia,"$3,525",0,1,1,0
1364,Hyôrai,"$3,521",0,4,0,0
1365,ottovaG,"$3,516",6,0,1,0
1366,Bradley,"$3,500",3,0,0,0
1367,Adept,"$3,492",1,0,0,0
1368,HungryPanda,"$3,490",2,0,1,0
1369,xCharm,"$3,480",0,1,0,0
1370,Choisix,"$3,478",1,2,1,0
1371,Only35,"$3,470",2,1,0,0
1372,Coated,"$3,457",0,0,1,0
1373,Viking,"$3,437",1,0,0,0
1374,Darker,"$3,400",0,0,1,0
1375,Baca,"$3,399",1,1,0,0
1376,Seraph,"$3,356",0,0,0,0
1377,Eren,"$3,339",1,3,0,0
1378,Holo,"$3,333",0,0,2,0
1379,Kadaver,"$3,329",6,1,1,0
1380,BULBAZABP,"$3,320",0,1,0,0
1381,Malunoo,"$3,300",0,0,1,0
1382,extinkt,"$3,300",0,0,1,0
1383,DenVoksne,"$3,290",1,1,2,0
1384,J0J0C,"$3,271",3,1,1,0
1385,Hawk,"$3,268",1,0,0,0
1386,Akeno,"$3,261",0,0,0,0
1387,Dice,"$3,258",0,0,1,0
1388,Rebel,"$3,257",1,0,0,0
1389,Rafitta,"$3,247",1,1,0,0
1390,Glebo,"$3,245",0,0,1,0
1391,Wondro,"$3,244",3,2,0,0
1392,Lmzs,"$3,244",1,0,0,0
1393,Epic,"$3,239",0,0,0,0
1394,Charger,"$3,236",0,0,0,0
1395,xKenzuke,"$3,234",1,0,0,0
1396,Neo,"$3,232",2,0,1,1
1397,Careta,"$3,227",0,0,0,0
1398,ProDelta,"$3,225",0,2,0,0
1399,Optimas,"$3,222",1,1,0,0
1400,Srtty,"$3,220",1,1,1,0
1401,Tomio,"$3,220",1,2,1,0
1402,Danny,"$3,220",1,1,1,0
1403,Aspect,"$3,220",1,1,1,0
1404,Mist,"$3,220",1,1,1,0
1405,Destroy,"$3,217",0,0,2,0
1406,SkuLL,"$3,212",1,0,0,0
1407,Boomin,"$3,206",2,3,0,0
1408,Raid,"$3,196",1,0,2,1
1409,Impaler,"$3,191",0,2,0,0
1410,Lilipp,"$3,188",0,0,1,0
1411,Hena,"$3,186",0,0,0,0
1412,dibu,"$3,181",3,0,0,0
1413,Dawn,"$3,179",1,0,0,0
1414,hammann,"$3,175",0,1,0,0
1415,ItsCortez,"$3,169",0,0,0,0
1416,Cospect,"$3,165",5,0,0,0
1417,Lion,"$3,147",0,1,1,0
1418,Tak,"$3,133",0,1,2,0
1419,Kehvo,"$3,123",0,3,1,0
1420,Sorry,"$3,123",0,0,0,0
1421,Click,"$3,109",3,2,0,0
1422,UNF0RGIVEN,"$3,106",1,0,0,0
1423,ChosenOne,"$3,085",3,0,0,0
1424,Yunbee,"$3,080",2,0,0,0
1425,WouLou,"$3,070",2,0,2,0
1426,Bounty,"$3,068",1,0,0,0
1427,Shaoran,"$3,068",0,0,0,0
1428,Nipphu,"$3,053",3,1,1,0
1429,Kryze,"$3,051",1,2,0,0
1430,Oscarinin,"$3,044",0,2,0,0
1431,Kynetic,"$3,039",0,2,1,0
1432,WildHeart,"$3,031",0,0,1,0
1433,bucu,"$3,031",0,1,1,0
1434,Lucky,"$3,029",1,0,0,0
1435,Ripi,"$3,029",3,1,0,0
1436,Froggy,"$3,027",0,1,0,0
1437,Kashtelan,"$3,025",0,2,2,0
1438,Genza,"$3,023",0,1,0,0
1439,Saju,"$3,019",1,3,1,0
1440,Laba,"$3,018",0,1,1,0
1441,Chelly,"$3,007",0,0,1,0
1442,Jojopyun,"$3,000",0,1,0,0
1443,Fill,"$3,000",0,1,0,0
1444,Chime,"$3,000",2,0,0,0
1445,Japone,"$3,000",1,0,0,0
1446,PaSa,"$2,993",0,2,0,0
1447,Slyv3r,"$2,982",2,4,2,0
1448,Dragane,"$2,981",1,3,0,0
1449,AndyBendy,"$2,979",1,3,3,0
1450,Color,"$2,971",2,0,0,0
1451,styllEE,"$2,954",1,2,0,0
1452,LUBEEENZZZ,"$2,936",1,0,0,0
1453,Turanaga,"$2,936",1,0,0,0
1454,Monk,"$2,931",2,4,5,0
1455,Nausicaa,"$2,900",1,0,0,0
1456,Wing,"$2,900",0,0,0,0
1457,FlayStation,"$2,867",1,1,1,0
1458,Afm,"$2,861",1,2,1,0
1459,Prodigy,"$2,853",1,2,1,0
1459,Hoya,"$2,850",0,0,0,0
1461,NOsFerus,"$2,834",1,1,0,0
1462,Jisoo,"$2,823",0,1,0,0
1463,Sof,"$2,815",1,0,1,0
1464,Pun1sher,"$2,810",0,4,1,0
1465,ForellenLord,"$2,801",0,0,1,0
1466,Husky,"$2,800",0,1,0,0
1467,Yupps,"$2,765",0,0,0,0
1468,t4nky,"$2,756",0,0,2,0
1469,NUCLEARINT,"$2,745",0,1,2,0
1470,Fresskowy,"$2,728",0,2,0,0
1471,GoldenTo4st,"$2,724",1,1,0,0
1472,LeChase,"$2,719",2,2,0,0
1473,AcceZ,"$2,712",0,0,0,0
1474,Evrot,"$2,703",0,1,0,0
1475,KiWiKiD,"$2,700",0,0,0,0
1476,Minji,"$2,700",0,0,0,0
1477,K2,"$2,700",0,0,0,0
1478,BroCColi,"$2,700",0,0,1,0
1479,Azhi,"$2,700",0,0,0,0
1480,Hinn,"$2,692",0,0,1,0
1481,Hanor,"$2,676",0,0,0,0
1482,Mong,"$2,668",0,0,0,0
1483,Erasus,"$2,659",1,0,0,0
1484,Proud,"$2,649",0,0,0,0
1485,Phoenix,"$2,649",3,0,1,0
1486,Griffon,"$2,645",0,1,0,0
1487,Seb,"$2,639",0,0,0,0
1488,Kuroko,"$2,609",0,0,0,0
1489,Blaze,"$2,600",0,1,0,0
1490,Blacky,"$2,599",1,0,0,0
1491,APA,"$2,592",0,3,2,0
1492,Only,"$2,581",2,3,2,1
1493,Truklax,"$2,579",2,4,0,0
1494,Fomko,"$2,569",0,0,1,0
1495,Tide,"$2,563",6,2,0,0
1496,AnOnPsyCkO,"$2,556",1,0,0,0
1497,Kenapil,"$2,548",0,4,3,0
1498,KazeTAR,"$2,534",2,1,1,0
1499,Gear,"$2,527",0,0,0,0
1500,Kuri,"$2,526",0,0,0,0
1501,APA,"$1,442",0,2,1,0
1502,Fallen,"$1,438",2,0,0,0
1503,DahVys,"$1,436",1,0,0,0
1504,Igloo,"$1,435",0,1,0,0
1505,Librid,"$1,431",2,0,0,0
1505,Rawbin,"$1,431",3,1,1,0
1507,GoldenTo4st,"$1,422",0,1,0,0
1508,Orre,"$1,417",1,1,0,0
1509,WildPanda,"$1,414",0,2,0,0
1509,Octomalus,"$1,414",1,1,0,0
1511,St1ng,"$1,412",0,0,1,0
1512,Dinka,"$1,410",1,0,1,0
1513,Gimliques,"$1,409",0,0,0,0
1514,Paladin,"$1,402",0,0,1,0
1515,Gear,"$1,400",0,0,0,0
1515,Yursan,"$1,400",0,0,1,0
1515,GodKwai,"$1,400",1,0,0,0
1515,JimieN,"$1,400",0,0,0,0
1519,JeppeHou,"$1,384",1,3,0,0
1520,WooFe,"$1,375",0,2,1,0
1521,Aesenar,"$1,368",0,1,0,0
1521,Flakked,"$1,368",0,0,0,0
1523,Findus,"$1,363",0,1,1,0
1524,Dred,"$1,362",1,1,3,0
1525,Snuggli,"$1,337",0,0,1,0
1526,Tyrin,"$1,322",0,0,1,0
1527,Shaoran,"$1,304",0,0,0,0
1527,Chibs,"$1,304",0,3,6,0
1529,Mersa,"$1,302",1,0,0,0
1530,HaRleLuYaR,"$1,300",0,0,0,0
1530,Knighter,"$1,300",1,0,0,0
1530,Do1u1u,"$1,300",0,0,0,0
1533,ZombieKungen,"$1,292",1,0,0,0
1534,KRP,"$1,289",0,1,1,0
1535,Froggy,"$1,286",0,0,0,0
1536,Speedy,"$1,264",0,2,0,0
1537,Lotus,"$1,263",1,0,0,0
1538,Bean,"$1,258",1,0,1,0
1539,Frappii,"$1,252",0,3,0,0
1539,Wylenz,"$1,252",0,6,0,0
1541,Robba,"$1,248",0,2,1,0
1542,Eign,"$1,247",2,0,0,0
1542,Peach,"$1,247",2,0,0,0
1544,Wolf,"$1,236",1,2,0,0
1545,Bushy,"$1,235",2,0,0,0
1546,PiOk,"$1,230",1,2,0,0
1547,Rocklho,"$1,229",1,1,0,0
1548,Meager,"$1,225",0,1,1,0
1549,Vizility,"$1,217",0,1,0,0
1550,Bobo,"$1,215",0,0,1,0
1551,Rx Dye,"$1,201",0,1,1,0
1552,Kobe,"$1,200",1,0,0,0
1552,Lesmart,"$1,200",2,0,0,0
1552,EquivocaL,"$1,200",0,0,0,0
1552,BarneyD,"$1,200",0,0,1,0
1556,Xyraz,"$1,198",1,1,1,0
1556,D4nKa,"$1,198",0,0,0,0
1558,ottovaG,"$1,190",4,0,1,0
1559,Canee,"$1,189",0,0,0,0
1560,Warden,"$1,184",0,0,1,0
1561,Kanji,"$1,183",0,0,2,0
1562,Click,"$1,182",2,1,0,0
1563,Silas,"$1,160",0,1,1,0
1564,Jaunatis,"$1,158",1,1,0,0
1565,JeongHoon,"$1,157",0,0,0,0
1565,Slugger,"$1,157",0,0,0,0
1565,Shark,"$1,157",0,0,0,0
1568,H4cker,"$1,151",0,0,1,0
1569,Kind,"$1,150",1,0,1,0
1570,Stratospanda,"$1,146",1,1,0,0
1571,Mewkyo,"$1,143",0,0,0,0
1572,Fittle,"$1,141",0,1,0,0
1573,Shiro,"$1,120",1,1,0,0
1573,Mist,"$1,120",1,1,0,0
1573,Tomio,"$1,120",1,2,0,0
1573,Srtty,"$1,120",1,1,0,0
1573,Aspect,"$1,120",1,1,0,0
1578,Spontexx,"$1,119",1,0,0,0
1579,Saitam,"$1,118",0,0,2,0
1580,KOOLBERG,"$1,117",0,2,1,0
1581,Zelt,"$1,115",3,1,0,0
1582,AndyBendy,"$1,110",0,1,3,0
1583,Zappy,"$1,100",0,0,1,0
1584,Endz,"$1,099",4,1,1,0
1585,Comet,"$1,081",0,0,0,0
1585,Fax,"$1,081",0,1,0,0
1587,Lingwi,"$1,072",0,1,0,0
1588,Prelude,"$1,067",0,0,1,0
1589,Diplex,"$1,063",1,0,0,0
1590,Dedrayon,"$1,060",0,0,0,0
1591,Malice,"$1,052",0,0,0,0
1592,Unforgiven,"$1,046",0,0,1,0
1592,Hoglet,"$1,046",0,1,1,0
1592,Symphony,"$1,046",0,0,0,0
1595,Eden Fox,"$1,019",0,1,1,0
1596,Last,"$1,016",0,0,0,0
1596,Mask,"$1,016",0,0,0,0
1598,Juves,"$1,014",0,0,2,0
1599,Young,"$1,010",0,0,2,0
1600,Freshx,"$1,000",2,0,0,0
1600,Aquasonic,"$1,000",4,0,0,0
1600,Charca,"$1,000",1,1,0,0
1600,Midbeast,"$1,000",0,1,0,0
1600,TopLop,"$1,000",2,0,0,0
1605,KemKen,$989,1,0,0,0
1606,Creon,$986,0,0,2,0
1607,Jun,$981,1,0,0,0
1608,Meleks,$980,0,0,1,0
1609,I am Kees,$936,1,0,1,0
1610,Homi,$932,0,3,0,0
1611,StormFury,$920,0,0,0,0
1612,Taeyoon,$910,1,0,0,0
1613,Naxxy,$905,0,3,1,0
1614,Delight,$901,1,0,0,0
1615,Catjug,$900,0,0,0,0
1615,Instinct,$900,0,0,0,0
1615,Tony Top,$900,0,1,0,0
1618,Phantomles,$894,3,0,0,0
1619,KonDziSan,$890,0,1,1,0
1620,Enty,$884,1,3,6,1
1621,Ploxy,$882,3,2,0,0
1622,Raizins,$871,0,1,1,0
1623,Bardo,$867,0,0,2,0
1624,Lewus,$866,0,0,0,0
1625,Aomine,$861,0,0,0,0
1626,Cao,$860,0,0,1,0
1627,Cacon,$858,0,0,0,0
1628,Glory,$857,0,0,0,0
1628,Draktharr,$857,0,0,0,0
1628,Vahvel,$857,0,0,0,0
1628,Elio,$857,0,0,0,0
1632,Oner,$856,2,2,0,0
1633,Raven,$852,0,0,1,0
1634,Helper,$848,0,0,0,0
1634,KongMing,$848,1,2,0,0
1636,Dragflick,$844,0,1,1,0
1637,Fl4mer,$835,3,0,0,0
1638,Cody,$833,1,0,1,0
1638,Xypherz,$833,0,0,0,0
1640,DarkSide,$816,0,1,0,0
1641,Tibor,$808,2,0,0,0
1642,Barrage,$807,1,1,1,0
1642,Dawidsonek,$807,0,0,0,0
1644,Meron,$804,2,3,0,0
1644,SimSin,$804,1,0,0,0
1644,A M U S E 4,$804,1,1,0,0
1647,RoseThorn,$800,1,0,1,0
1647,Jukes,$800,0,0,0,0
1647,Yusui,$800,0,0,0,0
1647,Johnsun,$800,0,0,0,0
1647,Rex,$800,0,0,0,0
1647,Gariaru,$800,0,1,2,0
1647,apaMEN,$800,1,3,5,1
1647,Jenkins,$800,1,0,0,0
1655,Metalx,$799,0,0,1,0
1656,Valhalla,$779,0,0,0,0
1657,Pak,$773,0,2,0,0
1657,Jakamaka,$773,0,0,0,0
1659,Luger,$762,1,2,1,0
1659,Hioss,$762,0,1,0,0
1661,Rein,$759,0,0,0,0
1662,BB Muffin,$757,1,0,0,0
1663,ItzRenifer,$746,0,0,0,0
1664,Dany,$720,0,1,0,0
1665,Governor,$717,0,1,1,0
1666,Shmebulock,$711,0,0,0,0
1667,Advienne,$709,0,0,0,0
1668,Sly,$702,0,1,0,0
1668,Chalice7,$702,0,1,0,0
1668,Meng,$702,0,1,0,0
1668,Mish,$702,0,1,0,0
1668,Pain,$702,0,1,0,0
1673,Mirbs,$701,1,0,1,0
1674,Consequent,$694,1,2,1,0
1675,Gorica,$692,0,1,1,0
1676,BeBopBulli,$689,0,1,0,0
1677,Enga,$680,2,1,0,0
1678,ChangeName,$677,0,1,0,0
1678,Yusin,$677,0,0,0,0
1680,Psclly,$674,0,1,2,0
1681,Miracle,$672,0,0,0,0
1681,Soul,$672,0,0,0,0
1681,Argonavt,$672,0,0,0,0
1681,MyKey,$672,0,0,0,0
1681,Laynel,$672,0,1,0,0
1686,FeeNiixZ,$659,0,1,0,0
1687,Woong,$652,0,1,0,0
1688,Gricek,$648,0,0,0,0
1689,Boal,$647,0,0,0,0
1690,Mayhem,$644,0,1,0,0
1691,Style,$643,0,0,0,0
1692,Trap,$640,0,0,0,0
1693,Korpse,$639,1,0,0,0
1693,Rare,$639,1,0,0,0
1695,DnDn,$617,0,1,1,0
1695,Sylvie,$617,0,1,1,0
1695,vvarion,$617,0,0,0,0
1695,FIESTA,$617,0,1,1,0
1699,Speedo,$610,0,0,0,0
1700,YourRiver,$600,0,0,0,0
1700,WeiLun,$600,0,0,0,0
1700,chen9,$600,0,1,0,0
1700,Kusuo,$600,0,0,0,0
1700,Bush,$600,0,0,0,0
1705,Straight,$584,0,1,0,0
1706,Kanna,$582,1,0,0,0
1707,Ardes,$568,0,1,0,0
1708,Crazycaps,$558,0,0,0,0
1709,Bull,$546,0,1,0,0
1710,Vayu,$542,1,0,0,0
1711,Crowno,$541,0,0,0,0
1712,Barcode,$538,0,0,0,0
1713,BetongJocke,$535,0,0,0,0
1714,Dasher,$534,0,1,0,0
1714,OdduGi,$534,0,0,0,0
1714,Muru,$534,1,0,0,0
1714,Howling,$534,1,0,0,0
1714,TolanD,$534,1,0,0,0
1719,Bendix,$530,0,1,1,0
1720,DarkWings,$528,0,0,1,0
1721,Zwyroo,$522,0,0,2,0
1722,Safir,$521,0,0,0,0
1723,Focus,$510,1,0,0,0
1723,Wixxi,$510,0,0,0,0
1723,gyuvee,$510,2,0,0,0
1726,Harp,$508,0,0,0,0
1726,Jool,$508,0,0,0,0
1726,Bini,$508,0,0,0,0
1729,Bartiono,$507,0,0,0,0
1730,Roamer,$506,1,2,0,0
1731,Zeypher,$500,0,4,0,0
1731,BeNw,$500,0,0,0,0
1731,Betsy,$500,0,0,0,0
1734,Qwacker,$485,1,1,0,0
1735,Skeeto,$480,2,1,1,0
1736,ThintoN,$471,0,0,3,0
1737,PFI,$463,0,1,1,0
1738,POILK,$453,0,1,0,0
1738,Shine,$453,1,0,0,0
1738,Denzel,$453,0,1,0,0
1741,Fizzi,$450,0,0,0,0
1742,Dipzey,$448,0,2,0,0
1743,Kiao,$446,3,2,1,0
1743,Rowelly,$446,3,2,1,0
1745,SunSieu,$440,0,0,0,0
1746,MeLikePanda,$430,0,1,1,0
1747,Nasser,$421,0,1,1,0
1748,Nomi,$420,0,2,0,0
1749,Jonsonny,$416,0,2,1,0
1750,CptShrimps,$410,0,0,2,0
1751,Witsyy,$409,0,1,0,0
1751,Stanniez,$409,0,1,0,0
1751,Mafab,$409,0,1,0,0
1751,AlphaCloud,$409,0,1,0,0
1755,LagsAlot,$402,0,0,0,0
1755,Beenie,$402,0,0,0,0
1757,Raheen,$400,0,0,1,0
1757,Dodo,$400,0,0,0,0
1757,Rhino,$400,0,0,1,0
1757,RBM,$400,0,0,1,0
1757,Maplestreet,$400,0,0,0,0
1757,Phantoml0rd,$400,0,0,0,0
1763,Lakinther,$397,1,0,0,0
1764,Alexx,$395,1,0,0,0
1765,Seb,$389,0,0,0,0
1766,Recap,$387,0,0,0,0
1766,Haretti,$387,1,1,2,1
1766,alleycat,$387,0,0,1,0
1769,Spawn,$380,0,0,0,0
1769,Busio,$380,0,0,0,0
1771,Cathrine,$369,1,1,0,0
1772,YamatoCannon,$360,0,0,0,0
1773,Eragon,$359,0,0,0,0
1774,Blaise,$357,0,0,0,0
1775,Kamil,$352,0,2,0,0
1776,Fisher,$350,1,0,0,0
1776,Zeus,$350,1,1,0,0
1776,AMOUR FAYA,$350,0,0,0,0
1779,Athyz,$340,1,0,0,0
1780,Hachiman,$332,0,0,0,0
1781,Adam,$325,1,0,2,0
1781,Naruterador,$325,0,1,0,0
1783,Panda,$320,1,0,0,0
1784,Luana,$319,0,3,0,0
1785,cowTard,$313,0,1,0,0
1786,FlashInTheNight,$295,0,0,0,0
1787,Hidan,$283,0,0,0,0
1788,Travanques,$275,0,1,3,0
1789,Haze,$269,0,1,0,0
1790,ToongE,$267,0,1,0,0
1791,Burry,$264,0,1,0,0
1791,MapSSi,$264,0,1,0,0
1791,BAeKHo,$264,0,1,0,0
1794,Ksaez,$254,0,0,1,0
1795,Dracxar,$250,0,1,0,0
1795,Sheepy,$250,0,0,0,0
1795,Zzanggu,$250,0,1,0,0
1795,Belgianbeast,$250,0,0,0,0
1795,Merit,$250,0,1,0,0
1795,Gaaloul,$250,0,0,0,0
1801,Meaning,$248,0,1,0,0
1802,KuMaMoTo,$233,0,0,0,0
1803,Nigelf,$232,0,0,0,0
1804,Moo,$230,0,0,0,0
1805,Azra,$222,1,0,0,0
1805,Blacky,$222,0,0,0,0
1807,RotteBengi,$218,0,0,1,0
1807,Carlsen,$218,0,0,1,0
1807,Rylle,$218,0,0,1,0
1807,Mixsi,$218,0,0,1,0
1811,Imbi,$205,0,0,0,0
1812,Swordd,$200,0,0,0,0
1812,Gralou,$200,0,2,0,0
1812,Akabuff,$200,0,0,0,0
1815,Lunar,$195,0,0,0,0
1816,Froststrike,$180,0,1,0,0
1816,Follow,$180,2,0,0,0
1818,Madly,$179,0,1,1,0
1819,BuLLDoG,$177,0,1,0,0
1820,Zerost,$168,1,2,1,0
1820,Awaker,$168,0,1,1,0
1820,Jinsh,$168,0,0,1,0
1823,HW4NG,$161,0,1,0,0
1824,Ruvelius,$160,1,0,1,0
1825,Boukada,$149,0,0,1,0
1826,Crit Hero,$136,0,0,0,0
1826,Jhinsane,$136,0,0,0,0
1826,Soulah,$136,0,0,0,0
1829,Arrietty,$130,1,0,0,0
1829,Bean J,$130,1,0,0,0
1829,Reversed,$130,0,0,0,0
1829,Taki,$130,1,0,0,0
1833,breezyyy,$128,0,0,0,0
1834,Crocomux,$119,0,0,0,0
1835,CyraXx,$118,0,0,0,0
1835,Praevius,$118,0,0,1,0
1835,Mercenary,$118,0,0,0,0
1835,Jenxas,$118,0,0,0,0
1839,Skain,$116,0,0,0,0
1840,Axecitement,$114,0,0,1,0
1840,BoffeN,$114,0,1,0,0
1842,Exyu,$100,0,0,0,0
1842,Zaphyr,$100,0,1,0,0
1844,Cozy,$80,0,0,0,0
1845,HongA,$71,0,0,1,0
1845,Blessing,$71,0,0,1,0
1847,Veignorem,$68,1,0,0,0
1847,sLiM5h4dY,$68,0,1,0,0
1849,TheKat,$54,0,0,0,0
1849,Saizo,$54,0,0,0,0
1851,Unlimited,$46,0,0,0,0
1852,Pjush,$45,1,0,0,0
1852,Ravea,$45,1,0,0,0
1852,Naelynn,$45,1,0,0,0
2001,CptShrimps,$410,0,1,2,0
2002,LagsAlot,$401,0,0,0,0
2003,Maplestreet,$400,0,0,0,0
2003,Phantoml0rd,$400,0,0,0,0
2003,Xeno,$400,0,0,0,0
2003,Zihan,$400,0,0,0,0
2003,Kiy1n9,$400,0,0,0,0
2003,Dodo,$400,0,0,0,0
2003,TeamLuke,$400,0,0,0,0
2003,Cresho,$400,0,0,0,0
2011,Lakinther,$399,1,0,0,0
2012,Rhobalas,$398,1,0,0,0
2013,Jhinsane,$397,0,0,0,0
2014,Alexx,$392,1,0,0,0
2014,Noma,$392,1,2,2,0
2016,Recap,$387,0,0,1,0
2016,alleycat,$387,0,0,1,0
2016,Haretti,$387,1,1,2,1
2019,Rylle,$383,0,0,1,0
2019,Mixsi,$383,0,0,1,0
2019,Carlsen,$383,0,0,1,0
2022,Busio,$380,0,0,1,0
2022,Spawn,$380,0,0,0,0
2024,Cathrine,$369,1,1,0,0
2025,YamatoCannon,$360,0,0,0,0
2026,Blaise,$357,0,0,0,0
2027,Reversed,$355,0,0,0,0
2028,Kamil,$351,0,2,0,0
2028,AMOUR FAYA,$351,0,0,0,0
2030,Fisher,$350,1,0,0,0
2031,Athyz,$340,1,0,0,0
2031,Philip,$340,0,0,0,0
2033,Poppy,$339,0,0,0,0
2034,Hachiman,$333,0,0,0,0
2035,Luana,$325,0,3,0,0
2036,Naruterador,$324,0,1,0,0
2037,Goot,$321,0,1,0,0
2037,Kick,$321,0,1,0,0
2037,Betao,$321,0,1,0,0
2040,cowTard,$314,0,1,0,0
2041,Gralou,$310,0,2,0,0
2042,FlashInTheNight,$301,0,0,0,0
2043,Sky0,$283,0,2,0,0
2044,Travanques,$275,0,1,3,0
2045,Haze,$269,0,1,0,0
2046,ToongE,$267,0,1,0,0
2047,BAeKHo,$264,0,1,0,0
2047,Burry,$264,0,1,0,0
2047,MapSSi,$264,0,1,0,0
2050,Aithusa,$254,1,0,0,0
2050,Ksaez,$254,0,0,1,0
2052,Dracxar,$251,0,1,0,0
2052,Zzanggu,$251,0,1,0,0
2052,Merit,$251,0,1,0,0
2055,Gaaloul,$250,0,0,0,0
2055,Sheepy,$250,0,0,0,0
2055,Belgianbeast,$250,0,0,0,0
2058,Meaning,$248,0,1,0,0
2059,Divider,$238,0,1,0,0
2060,Silk,$234,0,0,0,0
2061,KuMaMoTo,$232,0,0,0,0
2062,Nigelf,$231,0,0,0,0
2063,Moo,$230,0,0,0,0
2064,Azra,$222,1,0,0,0
2065,RotteBengi,$217,0,0,1,0
2066,Neephesto,$214,0,0,0,0
2067,Imbi,$206,0,0,0,0
2068,Akabuff,$200,0,0,0,0
2069,Hugato,$191,0,0,0,0
2070,cogcog,$184,0,2,0,0
2070,Rainbrain,$184,0,1,0,0
2072,BuLLDoG,$178,0,1,0,0
2072,WaenA,$178,0,2,1,0
2072,Madly,$178,1,1,1,0
2075,Jinsh,$168,0,0,1,0
2075,Zerost,$168,1,2,1,0
2075,Awaker,$168,0,1,1,0
2078,MGX,$162,0,0,1,0
2079,HW4NG,$161,0,1,0,0
2080,Eclipse,$160,0,0,0,0
2081,Hyper,$150,0,0,1,0
2081,Boukada,$150,0,0,1,0
2083,Soulah,$137,0,0,0,0
2083,Crit Hero,$137,0,0,0,0
2085,Ino1,$128,0,0,0,0
2085,breezyyy,$128,0,1,0,0
2087,Brance,$125,1,0,0,0
2087,Disamis,$125,0,0,0,0
2087,Ravenzin,$125,0,0,0,0
2087,Vitin,$125,0,0,0,0
2087,Cavalo,$125,0,0,0,0
2092,Crocomux,$118,0,0,0,0
2092,Praevius,$118,0,1,1,0
2094,Nixerino,$116,0,0,0,0
2094,Skain,$116,0,0,0,0
2096,BoffeN,$114,0,1,0,0
2096,Axecitement,$114,0,0,1,0
2098,Infinity,$112,1,0,0,0
2099,Eric,$109,0,0,0,0
2100,Exyu,$100,0,1,0,0
2101,Cozy,$80,0,0,0,0
2102,Stankie,$71,0,0,0,0
2102,griff,$71,0,0,0,0
2102,HongA,$71,0,0,1,0
2102,Titeito,$71,0,0,0,0
2102,Blessing,$71,0,0,1,0
2107,sLiM5h4dY,$68,0,1,0,0
2108,Saizo,$54,0,0,0,0
