number,name,earnings in USD,Number of major tournaments won,Number of second place placing,number of third place placings,number of regional tournaments won
344,Kellin,"$44,439",0,2,1,0
345,Crash,"$44,372",2,0,2,0
345,PK,"$44,372",2,5,4,0
347,xiaohan,"$44,330",0,0,0,0
348,Unified,"$44,243",5,1,1,0
349,SOLKA,"$43,924",0,0,1,0
350,Slow,"$43,762",6,3,1,0
351,Leo,"$43,399",0,1,0,0
352,Matt,"$43,013",0,1,0,0
353,Hard,"$43,000",0,1,0,0
354,Saken,"$42,905",6,6,3,0
355,Dan,"$42,572",8,2,2,0
356,Plugo,"$42,395",6,3,1,0
357,Tabzz,"$42,035",1,2,0,1
358,SMILEY,"$41,904",3,6,3,0
359,Lost,"$41,792",0,3,5,0
360,Prince,"$41,763",1,1,1,0
361,Chres,"$41,680",4,2,2,0
362,Punch,"$41,639",1,3,1,0
363,Swift,"$41,589",0,2,2,0
364,Jejky,"$41,431",7,2,0,0
365,Inspired,"$41,425",1,5,3,0
366,Cpt Jack,"$41,311",3,3,0,1
367,Xx,"$41,151",0,4,1,0
368,Obsess,"$40,984",3,5,2,0
369,Sebekx,"$40,952",9,3,0,0
370,WeiXiao,"$40,876",5,0,0,1
371,Xuhao,"$40,718",1,0,1,0
372,Nyph,"$40,480",1,1,1,1
373,Tierwulf,"$40,473",5,2,0,0
374,Mash,"$40,375",1,2,0,0
375,ShiauC,"$40,148",2,0,1,2
376,fabFabulous,"$40,120",5,3,0,2
377,puszu,"$40,000",1,0,0,1
378,Solo,"$39,925",2,2,0,0
379,Targamas,"$39,822",12,3,5,0
380,Save,"$39,781",0,2,1,0
381,Spica,"$39,675",1,2,1,1
382,Stomaged,"$39,570",5,3,0,2
383,micaO,"$39,506",6,4,0,1
384,Keith,"$39,400",1,4,1,0
385,Stitch,"$38,976",2,1,2,0
386,tockers,"$38,950",6,3,0,2
387,Smlz,"$38,735",1,1,3,1
388,Meliodas,"$38,732",2,0,1,0
389,LIDER,"$38,690",3,3,0,0
390,Misaya,"$38,676",4,0,0,1
391,Eika,"$38,458",12,5,2,0
392,Wink,"$38,403",0,0,0,0
393,Mickey,"$38,343",1,0,2,0
394,SSONG,"$38,279",1,1,0,1
395,Seiya,"$38,245",6,1,3,0
396,Nardeus,"$38,117",4,0,0,0
397,Chaox,"$38,040",2,3,2,0
398,Steak,"$38,000",1,0,0,0
399,Mark,"$37,399",2,1,0,0
400,Tom,"$37,359",2,0,0,2
401,Beichuan,"$36,866",0,2,0,0
402,Lodik,"$36,806",4,2,0,0
403,Doxy,"$36,544",4,6,1,0
404,TynX,"$36,465",5,3,2,0
405,loulex,"$36,166",1,0,2,1
406,GuGer,"$36,071",2,6,0,0
407,Atlen,"$36,005",3,0,1,2
408,Revolta,"$35,771",5,4,5,2
409,RangJun,"$35,682",0,0,0,0
410,Voyboy,"$35,450",3,3,3,0
411,Steeelback,"$35,301",7,1,0,1
412,Diamond,"$35,200",2,1,1,0
413,Bando,"$35,176",6,7,2,0
414,Coco,"$34,962",0,1,2,0
415,M1ssion,"$34,535",3,1,2,0
416,Fix,"$34,523",5,4,0,0
417,Helios,"$34,482",3,3,0,1
418,OddOrange,"$34,450",1,2,1,0
419,HotshotGG,"$34,380",3,3,3,0
420,Liang,"$34,317",0,3,3,0
421,kaSing,"$34,269",4,7,6,0
422,Inori,"$34,000",2,0,1,0
423,Fanatiik,"$33,842",1,3,2,0
424,Yang,"$33,740",6,5,0,2
425,Ucal,"$33,681",1,1,1,1
426,Noway,"$33,625",3,4,3,0
427,FZZF,"$33,600",1,0,0,0
428,River,"$33,517",4,2,1,0
429,Triple,"$33,434",5,2,0,1
430,ADD,"$33,407",0,2,0,0
